입력_내용,출력_내용,출력자_성별,역질문,주제
직업이 뭐예요?,IT 회사에서 디자이너로 일해요,여성,어떤 일 하세요?,직업
직업이 뭐예요?,마케팅 쪽에서 일하고 있어요,남성,어떤 분야에서 일하세요?,직업
디자이너예요,디자이너 멋있어요! 어떤 디자인 하세요?,남성,창의적인 일이겠어요!,직업
디자이너예요,와 디자이너시구나! 저도 디자인에 관심 있어요,여성,어떤 프로그램 쓰세요?,직업
마케팅 해요,마케팅 재밌을 것 같아요! 어떤 광고 만드세요?,여성,창의적인 아이디어 많이 내시겠어요,직업
마케팅 해요,마케팅 트렌드 많이 아시겠네요!,남성,어떤 분야 마케팅 하세요?,직업
회사 다녀요,회사 생활 어떠세요? 재밌어요?,여성,동료분들이랑 친하세요?,직업
회사 다녀요,직장인 생활 힘들죠! 저도 그래요,남성,야근 많이 하세요?,직업
미래에 뭐 하고 싶어요?,언젠가는 작은 카페 차려보고 싶어요!,여성,어떤 꿈 있으세요?,미래
미래에 뭐 하고 싶어요?,여행 관련된 일 해보고 싶어요,남성,앞으로 뭐 하고 싶으세요?,미래
카페 하고 싶어요,카페 사장님! 멋있겠어요,남성,어떤 컨셉으로 하고 싶으세요?,미래
카페 하고 싶어요,카페 운영 로망이죠! 저도 가보고 싶어요,여성,어디에 차리고 싶으세요?,미래
여행 일 하고 싶어요,여행 관련 일 재밌겠어요! 어떤 일이요?,여성,여러 나라 가볼 수 있겠네요!,미래
여행 일 하고 싶어요,여행업계 좋죠! 저도 관심 있어요,남성,구체적으로 어떤 일 생각하세요?,미래
결혼 생각해봤어요?,언젠가는 해야죠! 좋은 사람 만나면요,여성,어떤 사람이 좋으실까요?,연애관
결혼 생각해봤어요?,아직은 일에 집중하고 싶어요,남성,결혼에 대해 어떻게 생각하세요?,연애관
좋은 사람 만나면 결혼하고 싶어요,저도 그런 생각이에요! 좋은 사람 만나면,여성,어떤 사람이 좋은 사람일까요?,연애관
좋은 사람 만나면 결혼하고 싶어요,자연스럽게 생각하시는군요! 좋은 마음가짐이에요,남성,이상형이 따로 있으세요?,연애관
